2019-11-24T22:58:24.428-0200 [INFO] 2019-11-24 22:58:24,428 [restartedMain] [] com.mercadolibre.dnaapi.SimianApplication logStarting - Starting SimianApplication on brunno-Inspiron-15-3567 with PID 31385 (/home/brunno/workspaces/mercadolibre/dnaapi/target/classes started by brunno in /home/brunno/workspaces/mercadolibre/dnaapi)
2019-11-24T22:58:24.436-0200 [DEBUG] 2019-11-24 22:58:24,436 [restartedMain] [] com.mercadolibre.dnaapi.SimianApplication logStarting - Running with Spring Boot v2.2.1.RELEASE, Spring v5.2.1.RELEASE
2019-11-24T22:58:24.438-0200 [INFO] 2019-11-24 22:58:24,438 [restartedMain] [] com.mercadolibre.dnaapi.SimianApplication logStartupProfileInfo - No active profile set, falling back to default profiles: default
2019-11-24T22:58:39.684-0200 [INFO] 2019-11-24 22:58:39,684 [restartedMain] [] com.mercadolibre.dnaapi.SimianApplication logStarted - Started SimianApplication in 16.337 seconds (JVM running for 21.298)
2019-11-24T23:02:13.878-0200 [INFO] 2019-11-24 23:02:13,878 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness isSimian - ##### Método iniciado #####
2019-11-24T23:02:13.879-0200 [INFO] 2019-11-24 23:02:13,879 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchAllDnasVertical - ##### Método iniciado #####
2019-11-24T23:02:13.879-0200 [INFO] 2019-11-24 23:02:13,879 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método iniciado #####
2019-11-24T23:02:13.879-0200 [DEBUG] 2019-11-24 23:02:13,879 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Parâmetros recebidos: 
2019-11-24T23:02:13.880-0200 [DEBUG] 2019-11-24 23:02:13,880 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 1- linhaStart: 0
2019-11-24T23:02:13.880-0200 [DEBUG] 2019-11-24 23:02:13,880 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 2- colunaStart: 0
2019-11-24T23:02:13.880-0200 [DEBUG] 2019-11-24 23:02:13,880 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 3- numberOfSequence: 0
2019-11-24T23:02:13.880-0200 [DEBUG] 2019-11-24 23:02:13,880 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 4- numberOfSequence:2
